jurisdiction,date,deaths,cause
United States,2016-12-03,11523,cancer
United States,2016-12-03,12655,heart
United States,2016-12-03,54611,all
United States,2016-12-03,49928,natural
United States,2016-12-10,11500,cancer
United States,2016-12-10,12883,heart
United States,2016-12-10,55173,all
United States,2016-12-10,50531,natural
United States,2016-12-17,11827,cancer
United States,2016-12-17,13302,heart
United States,2016-12-17,56024,all
United States,2016-12-17,51582,natural
United States,2016-12-24,11639,cancer
United States,2016-12-24,13267,heart
United States,2016-12-24,56757,all
United States,2016-12-24,52213,natural
United States,2016-12-31,11490,cancer
United States,2016-12-31,13689,heart
United States,2016-12-31,57658,all
United States,2016-12-31,53148,natural
United States,2017-01-07,11643,cancer
United States,2017-01-07,14061,heart
United States,2017-01-07,59764,all
United States,2017-01-07,54862,natural
United States,2017-01-14,12102,cancer
United States,2017-01-14,14232,heart
United States,2017-01-14,60982,all
United States,2017-01-14,56209,natural
United States,2017-01-21,11882,cancer
United States,2017-01-21,13950,heart
United States,2017-01-21,59294,all
United States,2017-01-21,54654,natural
United States,2017-01-28,11488,cancer
United States,2017-01-28,13649,heart
United States,2017-01-28,58051,all
United States,2017-01-28,53359,natural
United States,2017-02-04,11689,cancer
United States,2017-02-04,13713,heart
United States,2017-02-04,58437,all
United States,2017-02-04,53749,natural
United States,2017-02-11,11908,cancer
United States,2017-02-11,13763,heart
United States,2017-02-11,59043,all
United States,2017-02-11,54228,natural
United States,2017-02-18,11571,cancer
United States,2017-02-18,13893,heart
United States,2017-02-18,58482,all
United States,2017-02-18,53951,natural
United States,2017-02-25,11597,cancer
United States,2017-02-25,13629,heart
United States,2017-02-25,58290,all
United States,2017-02-25,53768,natural
United States,2017-03-04,11115,cancer
United States,2017-03-04,13390,heart
United States,2017-03-04,57257,all
United States,2017-03-04,52480,natural
United States,2017-03-11,11546,cancer
United States,2017-03-11,13281,heart
United States,2017-03-11,57480,all
United States,2017-03-11,52622,natural
United States,2017-03-18,11424,cancer
United States,2017-03-18,13461,heart
United States,2017-03-18,56658,all
United States,2017-03-18,52170,natural
United States,2017-03-25,11570,cancer
United States,2017-03-25,13117,heart
United States,2017-03-25,57048,all
United States,2017-03-25,52296,natural
United States,2017-04-01,11601,cancer
United States,2017-04-01,12754,heart
United States,2017-04-01,55706,all
United States,2017-04-01,51102,natural
United States,2017-04-08,11385,cancer
United States,2017-04-08,12688,heart
United States,2017-04-08,55161,all
United States,2017-04-08,50321,natural
